date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:23:41	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:40%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-regular-400.eot	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-regular-400.eot	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:41	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:40%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-regular-400.woff	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-regular-400.woff	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:41	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:41%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-regular-400.ttf	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-regular-400.ttf	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:42	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:41%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-regular-400.svg	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-regular-400.svg	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:42	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:41%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-solid-900.eot	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-solid-900.eot	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:42	78196/78196	---MC-	200	added ('OK')	font/woff	etag:%22673fdaaf-13174%22	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-solid-900.woff	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-solid-900.woff	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:43	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:42%20GMT	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-solid-900.svg	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-solid-900.svg	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:43	202744/202744	---MC-	200	added ('OK')	application/octet-stream	etag:%22673fdaaf-317f8%22	https://whatsdetect.org/nf-ggads/assets/webfonts/fa-solid-900.ttf	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/webfonts/fa-solid-900.ttf	(from https://whatsdetect.org/nf-ggads/assets/all.min.css)
03:23:43	49896/49896	---MC-	200	added ('OK')	image/webp	etag:%22673fdaa2-c2e8%22	https://whatsdetect.org/nf-ggads/assets/bg.webp	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/bg.webp	(from https://whatsdetect.org/nf-ggads/assets/post-92.css)
03:23:44	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:43%20GMT	https://whatsdetect.org/nf-ggads/fonts/fontawesome-webfont.eot	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/fonts/fontawesome-webfont.eot	(from https://whatsdetect.org/nf-ggads/assets/font-awesome.min.css)
03:23:44	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:43%20GMT	https://whatsdetect.org/nf-ggads/fonts/fontawesome-webfont.woff	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/fonts/fontawesome-webfont.woff	(from https://whatsdetect.org/nf-ggads/assets/font-awesome.min.css)
03:23:44	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:43%20GMT	https://whatsdetect.org/nf-ggads/fonts/fontawesome-webfont.ttf	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/fonts/fontawesome-webfont.ttf	(from https://whatsdetect.org/nf-ggads/assets/font-awesome.min.css)
03:23:44	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2006:23:43%20GMT	https://whatsdetect.org/nf-ggads/fonts/fontawesome-webfont.svg	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/fonts/fontawesome-webfont.svg	(from https://whatsdetect.org/nf-ggads/assets/font-awesome.min.css)
03:23:45	1054/1054	---M-Z	200	added ('OK')	text/plain	etag:%22d50-6253234576840-gzip%22	https://www.w3.org/robots.txt		(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:45	195/195	---MCZ	200	added ('OK')	text/plain	date:Mon,%2023%20Dec%202024%2006:23:44%20GMT	https://ipinfo.io/robots.txt		(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
